implementation,operation,N,total_seconds,avg_seconds
naive,insert,10,6.599999323952943e-06,6.599999323952943e-07
naive,insert,100,0.00011140000060549937,1.1140000060549937e-06
naive,insert,1000,0.009015600000566337,9.015600000566337e-06
naive,insert,10000,1.181954300001962,0.0001181954300001962
naive,amend,10,8.299997716676444e-06,8.299997716676444e-07
naive,amend,100,0.0003060000017285347,3.060000017285347e-06
naive,amend,1000,0.030836999998427927,3.083699999842793e-05
naive,amend,10000,4.539399400000548,0.0004539399400000548
naive,delete,10,8.39999847812578e-06,8.399998478125781e-07
naive,delete,100,0.00018080000154441223,1.8080000154441223e-06
naive,delete,1000,0.01702839999779826,1.702839999779826e-05
naive,delete,10000,2.622051599999395,0.0002622051599999395
optimized,insert,10,1.1899999663000926e-05,1.1899999663000927e-06
optimized,insert,100,3.479999941191636e-05,3.479999941191636e-07
optimized,insert,1000,0.00022929999977350235,2.2929999977350235e-07
optimized,insert,10000,0.002273000001878245,2.2730000018782448e-07
optimized,insert,100000,0.039523799998278264,3.9523799998278266e-07
optimized,insert,1000000,0.26635710000118706,2.663571000011871e-07
optimized,amend,10,2.6999987312592566e-06,2.6999987312592566e-07
optimized,amend,100,8.39999847812578e-06,8.399998478125781e-08
optimized,amend,1000,7.6299998909235e-05,7.6299998909235e-08
optimized,amend,10000,0.0010788999970827717,1.0788999970827718e-07
optimized,amend,100000,0.02647410000281525,2.6474100002815246e-07
optimized,amend,1000000,0.4347617000021273,4.347617000021273e-07
optimized,delete,10,6.399997801054269e-06,6.399997801054269e-07
optimized,delete,100,2.1500000002561137e-05,2.1500000002561137e-07
optimized,delete,1000,0.00019869999960064888,1.9869999960064887e-07
optimized,delete,10000,0.002560299999458948,2.560299999458948e-07
optimized,delete,100000,0.044950299998163246,4.4950299998163243e-07
optimized,delete,1000000,0.7709238000024925,7.709238000024925e-07
